file_name,points,date_completed,date_processed,purple,items_json,completion_count,raid_type
Chambers of Xeric Challenge Mode(311) 2026-01-21_10-50-17.png,66241,2026-01-21,2026-03-12,Dinh's bulwark,"{""Dinh's bulwark"": 1}",311,cm
Chambers of Xeric Challenge Mode(335) 2026-01-26_21-56-29.png,65210,2026-01-26,2026-03-12,Ancestral robe bottom,"{""Ancestral robe bottom"": 1}",335,cm
Chambers of Xeric Challenge Mode(348) 2026-02-15_11-15-19.png,65044,2026-02-15,2026-03-12,,"{""Dragon arrow"": 322, ""Rune arrow"": 4646}",348,cm
Chambers of Xeric Challenge Mode(349) 2026-02-15_16-21-32.png,64385,2026-02-15,2026-03-12,Ancestral robe top,"{""Ancestral robe top"": 1}",349,cm
Chambers of Xeric Challenge Mode(326) 2026-01-24_09-44-59.png,64553,2026-01-24,2026-03-12,,{},326,cm
Chambers of Xeric Challenge Mode(357) 2026-02-19_08-58-47.png,64666,2026-02-19,2026-03-13,,{},357,cm
Chambers of Xeric(227) 2024-10-09_09-51-24.png,34369,2024-10-09,2026-03-13,,{},227,regular
Chambers of Xeric Challenge Mode(126) 2025-11-14_11-16-37.png,62483,2025-11-14,2026-03-13,,"{""Dynamite"": 1157}",126,cm
Chambers of Xeric Challenge Mode(188) 2025-12-20_14-21-45.png,63156,2025-12-20,2026-03-13,,{},188,cm
Chambers of Xeric Challenge Mode(401) 2026-03-08_22-00-47.png,64604,2026-03-08,2026-03-13,,{},401,cm
Chambers of Xeric(172) 2024-09-18_11-27-48.png,34180,2024-09-18,2026-03-13,,"{""Dynamite"": 632, ""Grimy lantadyme"": 137}",172,regular
Chambers of Xeric(236) 2024-10-10_15-27-12.png,32666,2024-10-10,2026-03-13,,"{""Dynamite"": 604, ""Mahogany plank"": 137}",236,regular
Chambers of Xeric Challenge Mode(287) 2026-01-17_09-37-00.png,63162,2026-01-17,2026-03-13,,"{""Gold ore"": 1435, ""Teak plank"": 657}",287,cm
Chambers of Xeric Challenge Mode(47) 2025-10-02_09-45-57.png,64028,2025-10-02,2026-03-13,,"{""Mahogany plank"": 269, ""Uncut ruby"": 264}",47,cm
Chambers of Xeric(160) 2024-09-16_15-08-04.png,37634,2024-09-16,2026-03-13,,"{""Death rune"": 1045, ""Uncut diamond"": 74}",160,regular
Chambers of Xeric(558) 2026-02-27_21-01-34.png,114444,2026-02-27,2026-03-13,,"{""Grimy avantoe"": 294, ""Pure essence"": 57}",558,regular
